00:14:21.780696 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 1, length 64
00:14:27.747906 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 2, length 64
00:14:28.166319 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 2, length 64
00:14:28.748135 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 3, length 64
00:14:29.166899 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 3, length 64
00:14:29.748707 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 4, length 64
00:14:30.167537 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 4, length 64
00:14:30.749344 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 5, length 64
00:14:31.168128 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 5, length 64
00:14:31.749928 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 6, length 64
00:14:32.168734 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 6, length 64
00:14:32.750536 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 7, length 64
00:14:33.168811 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 7, length 64
00:14:33.750577 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 8, length 64
00:14:34.169084 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 8, length 64
00:14:34.750895 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 9, length 64
00:14:35.169747 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 9, length 64
00:14:35.750536 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 10, length 64
00:14:36.169390 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 10, length 64
00:14:36.750201 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 11, length 64
00:14:37.168941 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 11, length 64
00:14:37.750728 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 12, length 64
00:14:38.169650 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 12, length 64
00:14:38.750462 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 13, length 64
00:14:39.169397 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 13, length 64
00:14:39.750202 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 14, length 64
00:14:40.171026 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 14, length 64
00:14:40.750798 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 15, length 64
00:14:41.169505 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 15, length 64
00:14:41.751277 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 16, length 64
00:14:42.169888 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 16, length 64
00:14:42.751238 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 17, length 64
00:14:43.170135 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 17, length 64
00:14:43.750956 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 18, length 64
00:14:44.169550 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 18, length 64
00:14:44.751241 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 19, length 64
00:14:45.170195 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 19, length 64
00:14:45.751007 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 20, length 64
00:14:46.169812 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 20, length 64
00:14:46.751238 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 21, length 64
00:14:47.169875 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 21, length 64
00:14:47.751671 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 22, length 64
00:14:48.170559 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 22, length 64
00:14:48.751242 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 23, length 64
00:14:49.170291 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 23, length 64
00:14:49.751107 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 24, length 64
00:14:50.169973 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 24, length 64
00:14:50.750787 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 25, length 64
00:14:51.169393 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 25, length 64
00:14:51.751202 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 26, length 64
00:14:52.169795 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 26, length 64
00:14:52.751611 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 27, length 64
00:14:53.173206 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 27, length 64
00:14:53.752020 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 28, length 64
00:14:54.171635 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 28, length 64
00:14:54.752443 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 29, length 64
00:14:55.171097 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 29, length 64
00:14:55.752889 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 30, length 64
00:14:56.171939 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 30, length 64
00:14:56.752755 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 31, length 64
00:14:57.171379 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 31, length 64
00:14:57.753192 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 32, length 64
00:14:58.172014 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 32, length 64
00:14:58.753828 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 33, length 64
00:14:59.172626 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 33, length 64
00:14:59.754441 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 34, length 64
00:15:00.173646 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 34, length 64
00:15:00.754455 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 35, length 64
00:15:01.173269 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 35, length 64
00:15:01.755082 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 36, length 64
00:15:02.173736 IP 194.60.86.3 > 10.8.2.6: ICMP echo reply, id 2212, seq 36, length 64
00:15:02.755247 IP 10.8.2.6 > 194.60.86.3: ICMP echo request, id 2212, seq 37, length 64
