04:55:22.035157 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 1, length 64
04:55:22.791128 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 2, length 64
04:55:23.033066 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 2, length 64
04:55:23.791029 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 3, length 64
04:55:24.047000 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 3, length 64
04:55:24.790994 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 4, length 64
04:55:25.032719 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 4, length 64
04:55:25.791714 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 5, length 64
04:55:26.043240 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 5, length 64
04:55:26.792225 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 6, length 64
04:55:27.033786 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 6, length 64
04:55:27.792796 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 7, length 64
04:55:28.046994 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 7, length 64
04:55:28.792922 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 8, length 64
04:55:29.034791 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 8, length 64
04:55:29.792747 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 9, length 64
04:55:30.046883 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 9, length 64
04:55:30.792829 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 10, length 64
04:55:31.063735 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 10, length 64
04:55:31.792660 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 11, length 64
04:55:32.052260 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 11, length 64
04:55:32.793205 IP 10.8.8.25 > 195.158.248.3: ICMP echo request, id 117, seq 12, length 64
04:55:33.034246 IP 195.158.248.3 > 10.8.8.25: ICMP echo reply, id 117, seq 12, length 64
