00:30:09.172390 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 2, length 64
00:30:09.743620 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 2, length 64
00:30:10.173277 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 3, length 64
00:30:10.744556 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 3, length 64
00:30:11.174221 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 4, length 64
00:30:11.745106 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 4, length 64
00:30:12.174765 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 5, length 64
00:30:12.746003 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 5, length 64
00:30:13.175661 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 6, length 64
00:30:13.746784 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 6, length 64
00:30:14.176441 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 7, length 64
00:30:14.747611 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 7, length 64
00:30:15.177276 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 8, length 64
00:30:15.748212 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 8, length 64
00:30:16.177874 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 9, length 64
00:30:16.748840 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 9, length 64
00:30:17.178504 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 10, length 64
00:30:17.749562 IP 103.107.196.131 > 10.8.3.8: ICMP echo reply, id 2270, seq 10, length 64
00:30:18.179234 IP 10.8.3.8 > 103.107.196.131: ICMP echo request, id 2270, seq 11, length 64
