00:19:41.063731 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 3, length 64
00:19:41.379074 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 3, length 64
00:19:42.065087 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 4, length 64
00:19:42.380761 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 4, length 64
00:19:43.066657 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 5, length 64
00:19:43.382089 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 5, length 64
00:19:44.068018 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 6, length 64
00:19:44.383520 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 6, length 64
00:19:45.069442 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 7, length 64
00:19:45.384989 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 7, length 64
00:19:46.070908 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 8, length 64
00:19:46.389966 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 8, length 64
00:19:47.071237 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 9, length 64
00:19:47.387645 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 9, length 64
00:19:48.072566 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 10, length 64
00:19:48.388080 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 10, length 64
00:19:49.073990 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 11, length 64
00:19:49.389455 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 11, length 64
00:19:50.075249 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 12, length 64
00:19:50.390531 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 12, length 64
00:19:51.076455 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 13, length 64
00:19:51.392105 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 13, length 64
00:19:52.078029 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 14, length 64
00:19:52.393518 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 14, length 64
00:19:53.079440 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 15, length 64
00:19:53.395044 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 15, length 64
00:19:54.080954 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 16, length 64
00:19:54.396260 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 16, length 64
00:19:55.082175 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 17, length 64
00:19:55.397465 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 17, length 64
00:19:56.083381 IP 10.8.3.8 > 185.130.184.115: ICMP echo request, id 2230, seq 18, length 64
00:19:56.398686 IP 185.130.184.115 > 10.8.3.8: ICMP echo reply, id 2230, seq 18, length 64
