00:15:31.378716 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 1, length 64
00:15:31.719864 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 1, length 64
00:15:32.885818 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 2, length 64
00:15:33.226635 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 2, length 64
00:15:33.886530 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 3, length 64
00:15:34.228024 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 3, length 64
00:15:34.886913 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 4, length 64
00:15:35.227551 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 4, length 64
00:15:35.887435 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 5, length 64
00:15:36.227964 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 5, length 64
00:15:36.887847 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 6, length 64
00:15:37.228696 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 6, length 64
00:15:37.887591 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 7, length 64
00:15:38.228253 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 7, length 64
00:15:38.888083 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 8, length 64
00:15:39.228895 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 8, length 64
00:15:39.888791 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 9, length 64
00:15:40.229334 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 9, length 64
00:15:40.889229 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 10, length 64
00:15:41.233176 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 10, length 64
00:15:41.889067 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 11, length 64
00:15:42.229831 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 11, length 64
00:15:42.889725 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 12, length 64
00:15:43.230342 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 12, length 64
00:15:43.890238 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 13, length 64
00:15:44.230887 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 13, length 64
00:15:44.890783 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 14, length 64
00:15:45.231462 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 14, length 64
00:15:45.891368 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 15, length 64
00:15:46.232177 IP 185.189.114.28 > 10.8.3.8: ICMP echo reply, id 2217, seq 15, length 64
00:15:46.892074 IP 10.8.3.8 > 185.189.114.28: ICMP echo request, id 2217, seq 16, length 64
