00:31:11.186855 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 2, length 64
00:31:11.550259 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 2, length 64
00:31:12.188108 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 3, length 64
00:31:12.550467 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 3, length 64
00:31:13.189344 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 4, length 64
00:31:13.551957 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 4, length 64
00:31:14.190815 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 5, length 64
00:31:14.553187 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 5, length 64
00:31:15.192046 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 6, length 64
00:31:15.555029 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 6, length 64
00:31:16.192924 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 7, length 64
00:31:16.555856 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 7, length 64
00:31:17.193723 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 8, length 64
00:31:17.556081 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 8, length 64
00:31:18.194952 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 9, length 64
00:31:18.557695 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 9, length 64
00:31:19.196577 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 10, length 64
00:31:19.558853 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 10, length 64
00:31:20.197727 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 11, length 64
00:31:20.561529 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 11, length 64
00:31:21.199379 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 12, length 64
00:31:21.561775 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 12, length 64
00:31:22.200648 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 13, length 64
00:31:22.568143 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 13, length 64
00:31:23.202002 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 14, length 64
00:31:23.564401 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 14, length 64
00:31:24.203273 IP 10.8.3.8 > 45.133.192.67: ICMP echo request, id 2274, seq 15, length 64
00:31:24.565869 IP 45.133.192.67 > 10.8.3.8: ICMP echo reply, id 2274, seq 15, length 64
