00:15:31.243502 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 2, length 64
00:15:31.912427 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 3, length 64
00:15:32.246989 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 3, length 64
00:15:32.912492 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 4, length 64
00:15:33.244335 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 4, length 64
00:15:33.912227 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 5, length 64
00:15:34.243906 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 5, length 64
00:15:34.912802 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 6, length 64
00:15:35.244593 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 6, length 64
00:15:35.913497 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 7, length 64
00:15:36.245462 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 7, length 64
00:15:36.913363 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 8, length 64
00:15:37.245263 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 8, length 64
00:15:37.913172 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 9, length 64
00:15:38.245029 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 9, length 64
00:15:38.913893 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 10, length 64
00:15:39.245947 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 10, length 64
00:15:39.913838 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 11, length 64
00:15:40.245578 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 11, length 64
00:15:40.914469 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 12, length 64
00:15:41.246167 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 12, length 64
00:15:41.915070 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 13, length 64
00:15:42.246639 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 13, length 64
00:15:42.915546 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 14, length 64
00:15:43.248057 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 14, length 64
00:15:43.915949 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 15, length 64
00:15:44.248684 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 15, length 64
00:15:44.916576 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 16, length 64
00:15:45.248697 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 16, length 64
00:15:45.916588 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 17, length 64
00:15:46.248336 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 17, length 64
00:15:46.917239 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 18, length 64
00:15:47.248751 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 18, length 64
00:15:47.917645 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 19, length 64
00:15:48.250442 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 19, length 64
00:15:48.918341 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 20, length 64
00:15:49.251405 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 20, length 64
00:15:49.918289 IP 10.8.3.8 > 194.99.105.100: ICMP echo request, id 2214, seq 21, length 64
00:15:50.249834 IP 194.99.105.100 > 10.8.3.8: ICMP echo reply, id 2214, seq 21, length 64
