21:38:32.220237 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 1, length 64
21:38:32.719528 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 1, length 64
21:38:33.219548 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 2, length 64
21:38:33.718827 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 2, length 64
21:38:34.220594 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 3, length 64
21:38:34.720246 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 3, length 64
21:38:35.221986 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 4, length 64
21:38:35.721800 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 4, length 64
21:38:36.223531 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 5, length 64
21:38:36.722938 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 5, length 64
21:38:37.224669 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 6, length 64
21:38:37.724121 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 6, length 64
21:38:38.225824 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 7, length 64
21:38:38.725396 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 7, length 64
21:38:39.227138 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 8, length 64
21:38:39.726534 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 8, length 64
21:38:40.228281 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 9, length 64
21:38:40.727774 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 9, length 64
21:38:41.229503 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 10, length 64
21:38:41.729059 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 10, length 64
21:38:42.230794 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 11, length 64
21:38:42.730387 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 11, length 64
21:38:43.232143 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 12, length 64
21:38:43.731754 IP 116.90.72.43 > 10.8.0.17: ICMP echo reply, id 798, seq 12, length 64
21:38:44.233482 IP 10.8.0.17 > 116.90.72.43: ICMP echo request, id 798, seq 13, length 64
