22:20:01.570537 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 2, length 64
22:20:01.882518 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 2, length 64
22:20:02.571446 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 3, length 64
22:20:02.883124 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 3, length 64
22:20:03.573074 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 4, length 64
22:20:03.884647 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 4, length 64
22:20:04.574578 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 5, length 64
22:20:04.886284 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 5, length 64
22:20:05.576207 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 6, length 64
22:20:05.887924 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 6, length 64
22:20:06.577852 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 7, length 64
22:20:06.889246 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 7, length 64
22:20:07.579133 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 8, length 64
22:20:07.890675 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 8, length 64
22:20:08.580596 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 9, length 64
22:20:08.892087 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 9, length 64
22:20:09.582005 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 10, length 64
22:20:09.893659 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 10, length 64
22:20:10.583577 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 11, length 64
22:20:10.895119 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 11, length 64
22:20:11.585033 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 12, length 64
22:20:11.896940 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 12, length 64
22:20:12.585850 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 13, length 64
22:20:12.897695 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 13, length 64
22:20:13.586613 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 14, length 64
22:20:13.898089 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 14, length 64
22:20:14.588007 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 15, length 64
22:20:14.899738 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 15, length 64
22:20:15.589660 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 16, length 64
22:20:15.901118 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 16, length 64
22:20:16.591030 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 17, length 64
22:20:16.902718 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 17, length 64
22:20:17.592632 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 18, length 64
22:20:17.904489 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 18, length 64
22:20:18.593387 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 19, length 64
22:20:18.904934 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 19, length 64
22:20:19.594843 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 20, length 64
22:20:19.906285 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 20, length 64
22:20:20.596212 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 21, length 64
22:20:20.908797 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 21, length 64
22:20:21.597707 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 22, length 64
22:20:21.909354 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 22, length 64
22:20:22.599268 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 23, length 64
22:20:22.912518 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 23, length 64
22:20:23.600378 IP 10.8.0.59 > 82.102.27.211: ICMP echo request, id 951, seq 24, length 64
22:20:23.911755 IP 82.102.27.211 > 10.8.0.59: ICMP echo reply, id 951, seq 24, length 64
