22:16:56.967039 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 2, length 64
22:16:57.288238 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 2, length 64
22:16:57.967093 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 3, length 64
22:16:58.288603 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 3, length 64
22:16:58.967519 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 4, length 64
22:16:59.289090 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 4, length 64
22:16:59.967996 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 5, length 64
22:17:00.295319 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 5, length 64
22:17:00.968202 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 6, length 64
22:17:01.290336 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 6, length 64
22:17:01.968192 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 7, length 64
22:17:02.289342 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 7, length 64
22:17:02.968270 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 8, length 64
22:17:03.289487 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 8, length 64
22:17:03.968022 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 9, length 64
22:17:04.289282 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 9, length 64
22:17:04.968193 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 10, length 64
22:17:05.289550 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 10, length 64
22:17:05.968454 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 11, length 64
22:17:06.289772 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 11, length 64
22:17:06.968639 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 12, length 64
22:17:07.290147 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 12, length 64
22:17:07.969050 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 13, length 64
22:17:08.290283 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 13, length 64
22:17:08.969188 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 14, length 64
22:17:09.290546 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 14, length 64
22:17:09.969465 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 15, length 64
22:17:10.291288 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 15, length 64
22:17:10.970199 IP 10.8.0.59 > 195.158.249.7: ICMP echo request, id 940, seq 16, length 64
22:17:11.291693 IP 195.158.249.7 > 10.8.0.59: ICMP echo reply, id 940, seq 16, length 64
