22:12:50.800308 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 1, length 64
22:12:51.096400 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 1, length 64
22:12:51.800304 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 2, length 64
22:12:52.098836 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 2, length 64
22:12:52.800804 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 3, length 64
22:12:53.096820 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 3, length 64
22:12:53.800765 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 4, length 64
22:12:54.096933 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 4, length 64
22:12:54.800881 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 5, length 64
22:12:55.097109 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 5, length 64
22:12:55.801035 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 6, length 64
22:12:56.097106 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 6, length 64
22:12:56.801043 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 7, length 64
22:12:57.097472 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 7, length 64
22:12:57.801402 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 8, length 64
22:12:58.097487 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 8, length 64
22:12:58.801440 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 9, length 64
22:12:59.097467 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 9, length 64
22:12:59.801408 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 10, length 64
22:13:00.097656 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 10, length 64
22:13:00.801591 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 11, length 64
22:13:01.097830 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 11, length 64
22:13:01.801771 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 12, length 64
22:13:02.099802 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 12, length 64
22:13:02.801747 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 13, length 64
22:13:03.105410 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 13, length 64
22:13:03.802344 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 14, length 64
22:13:04.098323 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 14, length 64
22:13:04.802264 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 15, length 64
22:13:05.098396 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 15, length 64
22:13:05.802339 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 16, length 64
22:13:06.098777 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 16, length 64
22:13:06.802685 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 17, length 64
22:13:07.099196 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 17, length 64
22:13:07.803101 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 18, length 64
22:13:08.099572 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 18, length 64
22:13:08.803534 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 19, length 64
22:13:09.099517 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 19, length 64
22:13:09.803464 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 20, length 64
22:13:10.099552 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 20, length 64
22:13:10.803497 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 21, length 64
22:13:11.100138 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 21, length 64
22:13:11.804072 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 22, length 64
22:13:12.100295 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 22, length 64
22:13:12.804202 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 23, length 64
22:13:13.100289 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 23, length 64
22:13:13.804235 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 24, length 64
22:13:14.100451 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 24, length 64
22:13:14.804406 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 25, length 64
22:13:15.100693 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 25, length 64
22:13:15.804651 IP 10.8.0.59 > 37.120.221.43: ICMP echo request, id 926, seq 26, length 64
22:13:16.100805 IP 37.120.221.43 > 10.8.0.59: ICMP echo reply, id 926, seq 26, length 64
