22:08:45.190927 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 2, length 64
22:08:45.991984 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 3, length 64
22:08:46.190843 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 3, length 64
22:08:46.991911 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 4, length 64
22:08:47.190790 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 4, length 64
22:08:47.991829 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 5, length 64
22:08:48.190624 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 5, length 64
22:08:48.992662 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 6, length 64
22:08:49.191289 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 6, length 64
22:08:49.993322 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 7, length 64
22:08:50.274844 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 7, length 64
22:08:50.993799 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 8, length 64
22:08:51.192596 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 8, length 64
22:08:51.994651 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 9, length 64
22:08:52.192883 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 9, length 64
22:08:52.994881 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 10, length 64
22:08:53.193541 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 10, length 64
22:08:53.995571 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 11, length 64
22:08:54.195201 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 11, length 64
22:08:54.996255 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 12, length 64
22:08:55.194959 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 12, length 64
22:08:55.996940 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 13, length 64
22:08:56.197805 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 13, length 64
22:08:56.996843 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 14, length 64
22:08:57.195509 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 14, length 64
22:08:57.997564 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 15, length 64
22:08:58.196118 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 15, length 64
22:08:58.998166 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 16, length 64
22:08:59.197623 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 16, length 64
22:08:59.998581 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 17, length 64
22:09:00.197038 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 17, length 64
22:09:00.998992 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 18, length 64
22:09:01.197625 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 18, length 64
22:09:01.999662 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 19, length 64
22:09:02.198186 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 19, length 64
22:09:03.000225 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 20, length 64
22:09:03.198738 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 20, length 64
22:09:04.001700 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 21, length 64
22:09:04.200422 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 21, length 64
22:09:05.003454 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 22, length 64
22:09:05.202033 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 22, length 64
22:09:06.005085 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 23, length 64
22:09:06.204080 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 23, length 64
22:09:07.006127 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 24, length 64
22:09:07.204897 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 24, length 64
22:09:08.007926 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 25, length 64
22:09:08.206993 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 25, length 64
22:09:09.009024 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 26, length 64
22:09:09.207947 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 26, length 64
22:09:10.009976 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 27, length 64
22:09:10.208584 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 27, length 64
22:09:11.011616 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 28, length 64
22:09:11.220398 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 28, length 64
22:09:12.013421 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 29, length 64
22:09:12.216058 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 29, length 64
22:09:13.015087 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 30, length 64
22:09:13.214684 IP 185.245.87.59 > 10.8.0.59: ICMP echo reply, id 907, seq 30, length 64
22:09:14.016731 IP 10.8.0.59 > 185.245.87.59: ICMP echo request, id 907, seq 31, length 64
