22:29:21.685292 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 2, length 64
22:29:21.970528 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 2, length 64
22:29:22.686497 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 3, length 64
22:29:22.998677 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 3, length 64
22:29:23.687615 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 4, length 64
22:29:24.009861 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 4, length 64
22:29:24.687776 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 5, length 64
22:29:24.972859 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 5, length 64
22:29:25.688807 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 6, length 64
22:29:26.720211 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 7, length 64
22:29:27.740199 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 8, length 64
22:29:27.907812 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 6, length 64
22:29:28.027083 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 8, length 64
22:29:28.740036 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 9, length 64
22:29:29.025287 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 9, length 64
22:29:29.740233 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 10, length 64
22:29:30.025063 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 10, length 64
22:29:30.740018 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 11, length 64
22:29:31.025228 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 11, length 64
22:29:31.740107 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 12, length 64
22:29:32.025826 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 12, length 64
22:29:32.740776 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 13, length 64
22:29:33.025836 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 13, length 64
22:29:33.740793 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 14, length 64
22:29:34.025946 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 14, length 64
22:29:34.740894 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 15, length 64
22:29:35.772226 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 16, length 64
22:29:36.735206 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 15, length 64
22:29:36.735779 IP 82.102.19.137 > 10.8.0.87: ICMP echo reply, id 987, seq 16, length 64
22:29:36.772067 IP 10.8.0.87 > 82.102.19.137: ICMP echo request, id 987, seq 17, length 64
