22:38:41.905145 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 1, length 64
22:38:42.176219 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 1, length 64
22:38:42.905215 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 2, length 64
22:38:43.932227 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 3, length 64
22:38:44.934758 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 2, length 64
22:38:44.934940 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 4, length 64
22:38:44.935511 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 3, length 64
22:38:45.206017 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 4, length 64
22:38:45.934971 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 5, length 64
22:38:46.205916 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 5, length 64
22:38:46.934879 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 6, length 64
22:38:47.206065 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 6, length 64
22:38:47.935031 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 7, length 64
22:38:48.205944 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 7, length 64
22:38:48.934912 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 8, length 64
22:38:49.205932 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 8, length 64
22:38:49.934901 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 9, length 64
22:38:50.205739 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 9, length 64
22:38:50.934705 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 10, length 64
22:38:51.205970 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 10, length 64
22:38:51.934926 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 11, length 64
22:38:52.956205 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 12, length 64
22:38:53.636813 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 11, length 64
22:38:53.956364 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 13, length 64
22:38:54.227592 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 13, length 64
22:38:54.956549 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 14, length 64
22:38:55.227419 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 14, length 64
22:38:55.956385 IP 10.8.0.87 > 84.17.41.130: ICMP echo request, id 1024, seq 15, length 64
22:38:56.227206 IP 84.17.41.130 > 10.8.0.87: ICMP echo reply, id 1024, seq 15, length 64
