23:02:44.417927 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 2, length 64
23:02:44.732028 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 2, length 64
23:02:45.418985 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 3, length 64
23:02:45.733663 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 3, length 64
23:02:46.420601 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 4, length 64
23:02:46.734995 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 4, length 64
23:02:47.421886 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 5, length 64
23:02:47.736275 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 5, length 64
23:02:48.423204 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 6, length 64
23:02:48.737481 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 6, length 64
23:02:49.424409 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 7, length 64
23:02:49.739285 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 7, length 64
23:02:50.425211 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 8, length 64
23:02:51.452199 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 9, length 64
23:02:52.219561 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 8, length 64
23:02:52.223787 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 9, length 64
23:02:52.452244 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 10, length 64
23:02:52.766747 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 10, length 64
23:02:53.453670 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 11, length 64
23:02:53.767989 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 11, length 64
23:02:54.454932 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 12, length 64
23:02:54.769601 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 12, length 64
23:02:55.456525 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 13, length 64
23:02:55.770988 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 13, length 64
23:02:56.457912 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 14, length 64
23:02:56.772851 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 14, length 64
23:02:57.458775 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 15, length 64
23:02:57.773214 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 15, length 64
23:02:58.460147 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 16, length 64
23:02:58.774488 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 16, length 64
23:02:59.461414 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 17, length 64
23:02:59.775834 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 17, length 64
23:03:00.462759 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 18, length 64
23:03:00.776880 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 18, length 64
23:03:01.463805 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 19, length 64
23:03:01.778107 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 19, length 64
23:03:02.465025 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 20, length 64
23:03:02.779793 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 20, length 64
23:03:03.466706 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 21, length 64
23:03:03.780980 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 21, length 64
23:03:04.467900 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 22, length 64
23:03:04.782064 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 22, length 64
23:03:05.468882 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 23, length 64
23:03:05.783061 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 23, length 64
23:03:06.469897 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 24, length 64
23:03:06.784232 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 24, length 64
23:03:07.471152 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 25, length 64
23:03:08.476196 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 26, length 64
23:03:09.500194 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 27, length 64
23:03:09.814890 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 27, length 64
23:03:10.501811 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 28, length 64
23:03:10.816065 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 28, length 64
23:03:11.502992 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 29, length 64
23:03:11.817384 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 29, length 64
23:03:12.504293 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 30, length 64
23:03:12.818545 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 30, length 64
23:03:13.505466 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 31, length 64
23:03:13.819551 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 31, length 64
23:03:14.506468 IP 10.8.0.75 > 141.98.103.171: ICMP echo request, id 1113, seq 32, length 64
23:03:14.820820 IP 141.98.103.171 > 10.8.0.75: ICMP echo reply, id 1113, seq 32, length 64
