20:07:49.084202 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 2, length 64
20:07:49.403315 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 2, length 64
20:07:50.298208 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 3, length 64
20:07:51.324204 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 4, length 64
20:07:51.699060 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 4, length 64
20:07:52.324926 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 5, length 64
20:07:52.692132 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 5, length 64
20:07:53.325970 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 6, length 64
20:07:53.681559 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 6, length 64
20:07:54.327431 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 7, length 64
20:07:55.356202 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 8, length 64
20:07:55.685464 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 8, length 64
20:07:56.357374 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 9, length 64
20:07:56.671762 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 9, length 64
20:07:57.358670 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 10, length 64
20:07:57.717421 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 10, length 64
20:07:58.360304 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 11, length 64
20:07:58.707400 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 11, length 64
20:07:59.361288 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 12, length 64
20:07:59.704453 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 12, length 64
20:08:00.362350 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 13, length 64
20:08:00.682423 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 13, length 64
20:08:01.363311 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 14, length 64
20:08:01.688056 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 14, length 64
20:08:02.364981 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 15, length 64
20:08:02.689275 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 15, length 64
20:08:03.366184 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 16, length 64
20:08:03.718151 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 16, length 64
20:08:04.367031 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 17, length 64
20:08:04.702169 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 17, length 64
20:08:05.368085 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 18, length 64
20:08:05.682345 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 18, length 64
20:08:06.369271 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 19, length 64
20:08:06.713183 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 19, length 64
20:08:07.370069 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 20, length 64
20:08:07.697418 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 20, length 64
20:08:08.371320 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 21, length 64
20:08:08.738275 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 21, length 64
20:08:09.372150 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 22, length 64
20:08:09.699211 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 22, length 64
20:08:10.373129 IP 10.8.0.8 > 131.255.4.122: ICMP echo request, id 456, seq 23, length 64
20:08:10.737225 IP 131.255.4.122 > 10.8.0.8: ICMP echo reply, id 456, seq 23, length 64
