20:04:40.095168 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 2, length 64
20:04:40.427260 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 2, length 64
20:04:41.096138 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 3, length 64
20:04:41.427944 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 3, length 64
20:04:42.097829 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 4, length 64
20:04:42.429581 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 4, length 64
20:04:43.099441 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 5, length 64
20:04:43.431623 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 5, length 64
20:04:44.100489 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 6, length 64
20:04:44.432495 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 6, length 64
20:04:45.101355 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 7, length 64
20:04:45.433494 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 7, length 64
20:04:46.102358 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 8, length 64
20:04:46.434457 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 8, length 64
20:04:47.103317 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 9, length 64
20:04:47.435316 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 9, length 64
20:04:48.104185 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 10, length 64
20:04:48.436166 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 10, length 64
20:04:49.105024 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 11, length 64
20:04:49.437176 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 11, length 64
20:04:50.106036 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 12, length 64
20:04:50.437992 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 12, length 64
20:04:51.106850 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 13, length 64
20:04:51.438992 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 13, length 64
20:04:52.107852 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 14, length 64
20:04:52.439750 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 14, length 64
20:04:53.108209 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 15, length 64
20:04:53.440163 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 15, length 64
20:04:54.109017 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 16, length 64
20:04:55.132199 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 17, length 64
20:04:55.464064 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 17, length 64
20:04:56.132939 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 18, length 64
20:04:56.473252 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 18, length 64
20:04:57.134105 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 19, length 64
20:04:57.466325 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 19, length 64
20:04:58.135183 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 20, length 64
20:04:58.468255 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 20, length 64
20:04:59.136130 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 21, length 64
20:04:59.468313 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 21, length 64
20:05:00.137178 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 22, length 64
20:05:00.469137 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 22, length 64
20:05:01.138001 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 23, length 64
20:05:01.470710 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 23, length 64
20:05:02.139574 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 24, length 64
20:05:02.471554 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 24, length 64
20:05:03.140419 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 25, length 64
20:05:03.472349 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 25, length 64
20:05:04.141213 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 26, length 64
20:05:04.473194 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 26, length 64
20:05:05.142065 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 27, length 64
20:05:05.474026 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 27, length 64
20:05:06.142893 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 28, length 64
20:05:06.474988 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 28, length 64
20:05:07.143853 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 29, length 64
20:05:07.475912 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 29, length 64
20:05:08.144774 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 30, length 64
20:05:08.476679 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 30, length 64
20:05:09.145541 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 31, length 64
20:05:09.477641 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 31, length 64
20:05:10.146507 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 32, length 64
20:05:10.478518 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 32, length 64
20:05:11.147382 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 33, length 64
20:05:11.479337 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 33, length 64
20:05:12.148213 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 34, length 64
20:05:12.480158 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 34, length 64
20:05:13.149022 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 35, length 64
20:05:13.480975 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 35, length 64
20:05:14.149836 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 36, length 64
20:05:14.482159 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 36, length 64
20:05:15.151025 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 37, length 64
20:05:15.483200 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 37, length 64
20:05:16.152063 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 38, length 64
20:05:16.483976 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 38, length 64
20:05:17.152841 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 39, length 64
20:05:17.484681 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 39, length 64
20:05:18.154547 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 40, length 64
20:05:18.486304 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 40, length 64
20:05:19.156169 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 41, length 64
20:05:19.487859 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 41, length 64
20:05:20.157726 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 42, length 64
20:05:20.489446 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 42, length 64
20:05:21.159317 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 43, length 64
20:05:21.491252 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 43, length 64
20:05:22.160156 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 44, length 64
20:05:22.492070 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 44, length 64
20:05:23.160975 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 45, length 64
20:05:23.492731 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 45, length 64
20:05:24.162627 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 46, length 64
20:05:24.494524 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 46, length 64
20:05:25.163428 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 47, length 64
20:05:25.495269 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 47, length 64
20:05:26.164176 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 48, length 64
20:05:26.496179 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 48, length 64
20:05:27.165086 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 49, length 64
20:05:27.497038 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 49, length 64
20:05:28.165941 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 50, length 64
20:05:28.497986 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 50, length 64
20:05:29.166893 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 51, length 64
20:05:29.498988 IP 185.134.114.44 > 10.8.0.8: ICMP echo reply, id 443, seq 51, length 64
20:05:30.167894 IP 10.8.0.8 > 185.134.114.44: ICMP echo request, id 443, seq 52, length 64
