20:03:43.498994 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 1, length 64
20:03:43.934764 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 1, length 64
20:03:44.498734 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 2, length 64
20:03:44.927512 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 2, length 64
20:03:45.500312 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 3, length 64
20:03:45.938553 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 3, length 64
20:03:46.501363 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 4, length 64
20:03:46.938821 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 4, length 64
20:03:47.502626 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 5, length 64
20:03:47.940591 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 5, length 64
20:03:48.503395 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 6, length 64
20:03:48.932401 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 6, length 64
20:03:49.504214 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 7, length 64
20:03:49.936849 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 7, length 64
20:03:50.505659 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 8, length 64
20:03:50.944053 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 8, length 64
20:03:51.506867 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 9, length 64
20:03:51.943893 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 9, length 64
20:03:52.507695 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 10, length 64
20:03:52.944715 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 10, length 64
20:03:53.508535 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 11, length 64
20:03:53.938085 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 11, length 64
20:03:54.509893 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 12, length 64
20:03:54.938268 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 12, length 64
20:03:55.511069 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 13, length 64
20:03:55.948901 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 13, length 64
20:03:56.511709 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 14, length 64
20:03:56.946590 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 14, length 64
20:03:57.512382 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 15, length 64
20:03:57.950167 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 15, length 64
20:03:58.513965 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 16, length 64
20:03:58.950981 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 16, length 64
20:03:59.514786 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 17, length 64
20:03:59.952584 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 17, length 64
20:04:00.516393 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 18, length 64
20:04:00.949981 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 18, length 64
20:04:01.517792 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 19, length 64
20:04:01.954888 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 19, length 64
20:04:02.518686 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 20, length 64
20:04:02.953252 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 20, length 64
20:04:03.520047 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 21, length 64
20:04:03.957265 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 21, length 64
20:04:04.521061 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 22, length 64
20:04:04.958020 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 22, length 64
20:04:05.521822 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 23, length 64
20:04:05.952524 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 23, length 64
20:04:06.523340 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 24, length 64
20:04:06.961678 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 24, length 64
20:04:07.524477 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 25, length 64
20:04:07.953367 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 25, length 64
20:04:08.525226 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 26, length 64
20:04:08.955554 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 26, length 64
20:04:09.526367 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 27, length 64
20:04:09.962965 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 27, length 64
20:04:10.527773 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 28, length 64
20:04:10.964763 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 28, length 64
20:04:11.528570 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 29, length 64
20:04:11.958960 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 29, length 64
20:04:12.529758 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 30, length 64
20:04:12.967987 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 30, length 64
20:04:13.530816 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 31, length 64
20:04:13.968051 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 31, length 64
20:04:14.531861 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 32, length 64
20:04:14.961258 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 32, length 64
20:04:15.533070 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 33, length 64
20:04:15.969704 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 33, length 64
20:04:16.534508 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 34, length 64
20:04:16.970674 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 34, length 64
20:04:17.535465 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 35, length 64
20:04:17.979265 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 35, length 64
20:04:18.537068 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 36, length 64
20:04:18.974102 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 36, length 64
20:04:19.537904 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 37, length 64
20:04:19.975805 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 37, length 64
20:04:20.538607 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 38, length 64
20:04:20.975791 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 38, length 64
20:04:21.539602 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 39, length 64
20:04:21.968912 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 39, length 64
20:04:22.540711 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 40, length 64
20:04:22.978143 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 40, length 64
20:04:23.541958 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 41, length 64
20:04:23.976416 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 41, length 64
20:04:24.543223 IP 10.8.0.8 > 165.73.240.43: ICMP echo request, id 442, seq 42, length 64
20:04:24.981141 IP 165.73.240.43 > 10.8.0.8: ICMP echo reply, id 442, seq 42, length 64
