11:05:45.770813 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 2, length 64
11:05:45.976582 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 2, length 64
11:05:46.772659 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 3, length 64
11:05:46.978641 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 3, length 64
11:05:47.773689 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 4, length 64
11:05:47.979601 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 4, length 64
11:05:48.774628 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 5, length 64
11:05:48.980867 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 5, length 64
11:05:49.775904 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 6, length 64
11:05:49.982492 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 6, length 64
11:05:50.777521 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 7, length 64
11:05:50.982888 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 7, length 64
11:05:51.778925 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 8, length 64
11:05:51.984590 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 8, length 64
11:05:52.780629 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 9, length 64
11:05:52.986900 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 9, length 64
11:05:53.781941 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 10, length 64
11:05:53.987188 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 10, length 64
11:05:54.783219 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 11, length 64
11:05:54.988649 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 11, length 64
11:05:55.784688 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 12, length 64
11:05:55.990266 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 12, length 64
11:05:56.786277 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 13, length 64
11:05:56.991730 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 13, length 64
11:05:57.787757 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 14, length 64
11:05:57.993549 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 14, length 64
11:05:58.789576 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 15, length 64
11:05:58.995544 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 15, length 64
11:05:59.790580 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 16, length 64
11:05:59.996006 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 16, length 64
11:06:00.792032 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 17, length 64
11:06:00.997658 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 17, length 64
11:06:01.793692 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 18, length 64
11:06:01.999078 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 18, length 64
11:06:02.795121 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 19, length 64
11:06:03.000354 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 19, length 64
11:06:03.795393 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 20, length 64
11:06:04.000782 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 20, length 64
11:06:04.795827 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 21, length 64
11:06:05.006232 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 21, length 64
11:06:05.796259 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 22, length 64
11:06:06.006224 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 22, length 64
11:06:06.796258 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 23, length 64
11:06:07.008920 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 23, length 64
11:06:07.796939 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 24, length 64
11:06:08.006291 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 24, length 64
11:06:08.797326 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 25, length 64
11:06:09.006358 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 25, length 64
11:06:09.797383 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 26, length 64
11:06:10.006616 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 26, length 64
11:06:10.797661 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 27, length 64
11:06:11.006759 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 27, length 64
11:06:11.797774 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 28, length 64
11:06:12.006444 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 28, length 64
11:06:12.798477 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 29, length 64
11:06:13.006566 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 29, length 64
11:06:13.798592 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 30, length 64
11:06:14.007489 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 30, length 64
11:06:14.798475 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 31, length 64
11:06:15.006526 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 31, length 64
11:06:15.798211 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 32, length 64
11:06:16.006622 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 32, length 64
11:06:16.798656 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 33, length 64
11:06:17.006955 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 33, length 64
11:06:17.798991 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 34, length 64
11:06:18.007179 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 34, length 64
11:06:18.799202 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 35, length 64
11:06:19.007469 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 35, length 64
11:06:19.799500 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 36, length 64
11:06:20.006716 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 36, length 64
11:06:20.799753 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 37, length 64
11:06:21.006921 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 37, length 64
11:06:21.799953 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 38, length 64
11:06:22.008129 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 38, length 64
11:06:22.800165 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 39, length 64
11:06:23.007410 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 39, length 64
11:06:23.800448 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 40, length 64
11:06:24.011055 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 40, length 64
11:06:24.801078 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 41, length 64
11:06:25.007873 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 41, length 64
11:06:25.801907 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 42, length 64
11:06:26.010437 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 42, length 64
11:06:26.802477 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 43, length 64
11:06:27.010292 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 43, length 64
11:06:27.803319 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 44, length 64
11:06:28.008549 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 44, length 64
11:06:28.803580 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 45, length 64
11:06:29.010611 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 45, length 64
11:06:29.803651 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 46, length 64
11:06:30.010216 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 46, length 64
11:06:30.804261 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 47, length 64
11:06:31.010656 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 47, length 64
11:06:31.804688 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 48, length 64
11:06:32.010297 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 48, length 64
11:06:32.805328 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 49, length 64
11:06:33.011066 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 49, length 64
11:06:33.806106 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 50, length 64
11:06:34.011431 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 50, length 64
11:06:34.806451 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 51, length 64
11:06:35.012031 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 51, length 64
11:06:35.807072 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 52, length 64
11:06:36.012423 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 52, length 64
11:06:36.807447 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 53, length 64
11:06:37.016830 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 53, length 64
11:06:37.807861 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 54, length 64
11:06:38.013273 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 54, length 64
11:06:38.808323 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 55, length 64
11:06:39.014013 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 55, length 64
11:06:39.809069 IP 10.8.3.7 > 217.138.200.179: ICMP echo request, id 1503, seq 56, length 64
11:06:40.014555 IP 217.138.200.179 > 10.8.3.7: ICMP echo reply, id 1503, seq 56, length 64
