11:09:55.114665 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 2, length 64
11:09:55.395689 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 2, length 64
11:09:56.115653 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 3, length 64
11:09:56.396706 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 3, length 64
11:09:57.116677 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 4, length 64
11:09:57.397550 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 4, length 64
11:09:58.117516 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 5, length 64
11:09:58.398584 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 5, length 64
11:09:59.118507 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 6, length 64
11:09:59.399609 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 6, length 64
11:10:00.119574 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 7, length 64
11:10:00.400818 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 7, length 64
11:10:01.120810 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 8, length 64
11:10:01.402006 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 8, length 64
11:10:02.122000 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 9, length 64
11:10:02.403469 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 9, length 64
11:10:03.123436 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 10, length 64
11:10:03.404526 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 10, length 64
11:10:04.124487 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 11, length 64
11:10:04.405952 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 11, length 64
11:10:05.125915 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 12, length 64
11:10:05.406976 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 12, length 64
11:10:06.126944 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 13, length 64
11:10:06.408162 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 13, length 64
11:10:07.128126 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 14, length 64
11:10:07.409075 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 14, length 64
11:10:08.129034 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 15, length 64
11:10:08.410928 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 15, length 64
11:10:09.129890 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 16, length 64
11:10:09.410940 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 16, length 64
11:10:10.130920 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 17, length 64
11:10:10.412311 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 17, length 64
11:10:11.132284 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 18, length 64
11:10:11.413552 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 18, length 64
11:10:12.133532 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 19, length 64
11:10:12.415154 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 19, length 64
11:10:13.135143 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 20, length 64
11:10:13.416353 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 20, length 64
11:10:14.136290 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 21, length 64
11:10:14.417548 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 21, length 64
11:10:15.137516 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 22, length 64
11:10:15.418480 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 22, length 64
11:10:16.138404 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 23, length 64
11:10:16.419718 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 23, length 64
11:10:17.139670 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 24, length 64
11:10:17.420958 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 24, length 64
11:10:18.140917 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 25, length 64
11:10:18.422144 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 25, length 64
11:10:19.142105 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 26, length 64
11:10:19.423597 IP 84.247.48.83 > 10.8.3.7: ICMP echo reply, id 1519, seq 26, length 64
11:10:20.143553 IP 10.8.3.7 > 84.247.48.83: ICMP echo request, id 1519, seq 27, length 64
