11:29:20.859533 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 1, length 64
11:29:21.886215 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 2, length 64
11:29:22.910203 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 3, length 64
11:29:23.586690 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 3, length 64
11:29:25.028527 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 4, length 64
11:29:25.789355 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 4, length 64
11:29:26.028843 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 5, length 64
11:29:27.038199 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 6, length 64
11:29:27.798836 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 6, length 64
11:29:28.039315 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 7, length 64
11:29:28.799221 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 7, length 64
11:29:29.039713 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 8, length 64
11:29:30.046238 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 9, length 64
11:29:30.806882 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 9, length 64
11:29:31.047376 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 10, length 64
11:29:31.808304 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 10, length 64
11:29:32.047794 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 11, length 64
11:29:33.054239 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 12, length 64
11:29:33.813506 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 12, length 64
11:29:34.054980 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 13, length 64
11:29:34.804798 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 13, length 64
11:29:35.056289 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 14, length 64
11:29:35.813234 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 14, length 64
11:29:36.056717 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 15, length 64
11:29:37.086243 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 16, length 64
11:29:38.110175 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 17, length 64
11:29:39.134213 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 18, length 64
11:29:40.158219 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 19, length 64
11:29:40.912696 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 19, length 64
11:29:41.159190 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 20, length 64
11:29:42.174215 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 21, length 64
11:29:42.930984 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 21, length 64
11:29:43.175466 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 22, length 64
11:29:43.936277 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 22, length 64
11:29:44.176758 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 23, length 64
11:29:45.182219 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 24, length 64
11:29:45.936774 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 24, length 64
11:29:46.183257 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 25, length 64
11:29:47.198211 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 26, length 64
11:29:48.222209 IP 10.8.1.2 > 103.107.198.131: ICMP echo request, id 1594, seq 27, length 64
11:29:48.971838 IP 103.107.198.131 > 10.8.1.2: ICMP echo reply, id 1594, seq 27, length 64
