11:47:51.130889 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 2, length 64
11:47:51.452305 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 2, length 64
11:47:52.132235 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 3, length 64
11:47:52.466487 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 3, length 64
11:47:53.133393 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 4, length 64
11:47:53.450737 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 4, length 64
11:47:54.134672 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 5, length 64
11:47:54.450905 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 5, length 64
11:47:55.135827 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 6, length 64
11:47:55.452255 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 6, length 64
11:47:56.137164 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 7, length 64
11:47:56.457145 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 7, length 64
11:47:57.138051 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 8, length 64
11:47:57.454925 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 8, length 64
11:47:58.138835 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 9, length 64
11:47:58.455549 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 9, length 64
11:47:59.140471 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 10, length 64
11:47:59.456621 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 10, length 64
11:48:00.141507 IP 10.8.1.4 > 85.10.51.63: ICMP echo request, id 1661, seq 11, length 64
11:48:00.459132 IP 85.10.51.63 > 10.8.1.4: ICMP echo reply, id 1661, seq 11, length 64
