11:42:42.531814 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 1, length 64
11:42:42.875111 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 1, length 64
11:42:43.534786 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 2, length 64
11:42:43.877934 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 2, length 64
11:42:44.535887 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 3, length 64
11:42:44.879168 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 3, length 64
11:42:45.537060 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 4, length 64
11:42:45.880243 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 4, length 64
11:42:46.538058 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 5, length 64
11:42:46.881144 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 5, length 64
11:42:47.539031 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 6, length 64
11:42:47.882361 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 6, length 64
11:42:48.540179 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 7, length 64
11:42:48.883581 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 7, length 64
11:42:49.541467 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 8, length 64
11:42:49.884626 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 8, length 64
11:42:50.542516 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 9, length 64
11:42:50.885973 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 9, length 64
11:42:51.543877 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 10, length 64
11:42:51.886939 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 10, length 64
11:42:52.544825 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 11, length 64
11:42:52.888202 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 11, length 64
11:42:53.546089 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 12, length 64
11:42:53.889387 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 12, length 64
11:42:54.547279 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 13, length 64
11:42:54.890406 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 13, length 64
11:42:55.548303 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 14, length 64
11:42:55.891658 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 14, length 64
11:42:56.549546 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 15, length 64
11:42:56.892807 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 15, length 64
11:42:57.550691 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 16, length 64
11:42:57.893833 IP 185.189.114.28 > 10.8.1.4: ICMP echo reply, id 1644, seq 16, length 64
11:42:58.551719 IP 10.8.1.4 > 185.189.114.28: ICMP echo request, id 1644, seq 17, length 64
