22:28:00.032230 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 2, length 64
22:28:00.330988 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 2, length 64
22:28:01.033928 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 3, length 64
22:28:01.332771 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 3, length 64
22:28:02.034726 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 4, length 64
22:28:02.333573 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 4, length 64
22:28:03.035512 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 5, length 64
22:28:03.334157 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 5, length 64
22:28:04.037096 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 6, length 64
22:28:04.335638 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 6, length 64
22:28:05.038569 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 7, length 64
22:28:05.337530 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 7, length 64
22:28:06.039462 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 8, length 64
22:28:06.338190 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 8, length 64
22:28:07.041122 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 9, length 64
22:28:07.339838 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 9, length 64
22:28:08.042709 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 10, length 64
22:28:08.341408 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 10, length 64
22:28:09.044338 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 11, length 64
22:28:09.343084 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 11, length 64
22:28:10.046014 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 12, length 64
22:28:10.344892 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 12, length 64
22:28:11.047749 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 13, length 64
22:28:11.346481 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 13, length 64
22:28:12.049416 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 14, length 64
22:28:12.348494 IP 185.216.34.100 > 10.8.2.12: ICMP echo reply, id 1809, seq 14, length 64
22:28:13.050428 IP 10.8.2.12 > 185.216.34.100: ICMP echo request, id 1809, seq 15, length 64
