22:37:15.122215 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 1, length 64
22:37:15.424375 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 1, length 64
22:37:16.123088 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 2, length 64
22:37:16.427928 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 2, length 64
22:37:17.123275 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 3, length 64
22:37:17.425327 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 3, length 64
22:37:18.124264 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 4, length 64
22:37:18.426561 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 4, length 64
22:37:19.125495 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 5, length 64
22:37:19.427338 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 5, length 64
22:37:20.126265 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 6, length 64
22:37:20.428807 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 6, length 64
22:37:21.127723 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 7, length 64
22:37:21.430615 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 7, length 64
22:37:22.128558 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 8, length 64
22:37:22.430640 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 8, length 64
22:37:23.129564 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 9, length 64
22:37:23.431466 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 9, length 64
22:37:24.130396 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 10, length 64
22:37:24.435663 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 10, length 64
22:37:25.131584 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 11, length 64
22:37:25.433474 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 11, length 64
22:37:26.132391 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 12, length 64
22:37:26.434279 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 12, length 64
22:37:27.133201 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 13, length 64
22:37:27.435176 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 13, length 64
22:37:28.134087 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 14, length 64
22:37:28.436557 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 14, length 64
22:37:29.135480 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 15, length 64
22:37:29.437521 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 15, length 64
22:37:30.136449 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 16, length 64
22:37:30.438980 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 16, length 64
22:37:31.137902 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 17, length 64
22:37:31.439984 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 17, length 64
22:37:32.138911 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 18, length 64
22:37:32.440779 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 18, length 64
22:37:33.139705 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 19, length 64
22:37:33.442003 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 19, length 64
22:37:34.140923 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 20, length 64
22:37:34.443058 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 20, length 64
22:37:35.141998 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 21, length 64
22:37:35.444097 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 21, length 64
22:37:36.143023 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 22, length 64
22:37:36.444919 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 22, length 64
22:37:37.143841 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 23, length 64
22:37:37.446318 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 23, length 64
22:37:38.145247 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 24, length 64
22:37:38.447287 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 24, length 64
22:37:39.146220 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 25, length 64
22:37:39.450545 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 25, length 64
22:37:40.147470 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 26, length 64
22:37:40.449324 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 26, length 64
22:37:41.148259 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 27, length 64
22:37:41.450458 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 27, length 64
22:37:42.149375 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 28, length 64
22:37:42.451351 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 28, length 64
22:37:43.150278 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 29, length 64
22:37:43.452214 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 29, length 64
22:37:44.151164 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 30, length 64
22:37:44.453218 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 30, length 64
22:37:45.152146 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 31, length 64
22:37:45.454221 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 31, length 64
22:37:46.153153 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 32, length 64
22:37:46.455213 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 32, length 64
22:37:47.154134 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 33, length 64
22:37:47.456399 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 33, length 64
22:37:48.155289 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 34, length 64
22:37:48.457284 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 34, length 64
22:37:49.156213 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 35, length 64
22:37:49.458236 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 35, length 64
22:37:50.157165 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 36, length 64
22:37:50.459111 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 36, length 64
22:37:51.158047 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 37, length 64
22:37:51.460360 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 37, length 64
22:37:52.159301 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 38, length 64
22:37:52.461524 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 38, length 64
22:37:53.160454 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 39, length 64
22:37:53.462415 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 39, length 64
22:37:54.161344 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 40, length 64
22:37:54.463511 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 40, length 64
22:37:55.162443 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 41, length 64
22:37:55.464587 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 41, length 64
22:37:56.163249 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 42, length 64
22:37:56.465425 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 42, length 64
22:37:57.164354 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 43, length 64
22:37:57.466613 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 43, length 64
22:37:58.165544 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 44, length 64
22:37:58.469047 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 44, length 64
22:37:59.166995 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 45, length 64
22:37:59.469025 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 45, length 64
22:38:00.167963 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 46, length 64
22:38:00.470481 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 46, length 64
22:38:01.169411 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 47, length 64
22:38:01.475031 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 47, length 64
22:38:02.170977 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 48, length 64
22:38:02.473726 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 48, length 64
22:38:03.172659 IP 10.8.2.12 > 196.240.57.99: ICMP echo request, id 1847, seq 49, length 64
22:38:03.476100 IP 196.240.57.99 > 10.8.2.12: ICMP echo reply, id 1847, seq 49, length 64
