22:40:20.371596 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 2, length 64
22:40:20.960351 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 3, length 64
22:40:21.371529 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 3, length 64
22:40:21.960378 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 4, length 64
22:40:22.371665 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 4, length 64
22:40:22.960509 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 5, length 64
22:40:23.371449 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 5, length 64
22:40:23.960277 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 6, length 64
22:40:24.371512 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 6, length 64
22:40:24.960339 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 7, length 64
22:40:25.371489 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 7, length 64
22:40:25.960268 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 8, length 64
22:40:26.371110 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 8, length 64
22:40:26.959945 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 9, length 64
22:40:27.371157 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 9, length 64
22:40:27.959972 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 10, length 64
22:40:28.371170 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 10, length 64
22:40:28.959984 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 11, length 64
22:40:29.370911 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 11, length 64
22:40:29.959242 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 12, length 64
22:40:30.370189 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 12, length 64
22:40:30.959018 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 13, length 64
22:40:31.370008 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 13, length 64
22:40:31.958834 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 14, length 64
22:40:32.370023 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 14, length 64
22:40:32.958846 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 15, length 64
22:40:33.370434 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 15, length 64
22:40:33.959260 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 16, length 64
22:40:34.370258 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 16, length 64
22:40:34.959089 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 17, length 64
22:40:35.370483 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 17, length 64
22:40:35.959248 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 18, length 64
22:40:36.370312 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 18, length 64
22:40:36.959135 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 19, length 64
22:40:37.370315 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 19, length 64
22:40:37.959159 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 20, length 64
22:40:38.370110 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 20, length 64
22:40:38.958933 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 21, length 64
22:40:39.370001 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 21, length 64
22:40:39.958827 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 22, length 64
22:40:40.369987 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 22, length 64
22:40:40.958810 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 23, length 64
22:40:41.369973 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 23, length 64
22:40:41.958794 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 24, length 64
22:40:42.369768 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 24, length 64
22:40:42.958595 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 25, length 64
22:40:43.369770 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 25, length 64
22:40:43.958594 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 26, length 64
22:40:44.369608 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 26, length 64
22:40:44.958438 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 27, length 64
22:40:45.369464 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 27, length 64
22:40:45.958281 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 28, length 64
22:40:46.369465 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 28, length 64
22:40:46.958289 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 29, length 64
22:40:47.369483 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 29, length 64
22:40:47.958305 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 30, length 64
22:40:48.369468 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 30, length 64
22:40:48.958291 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 31, length 64
22:40:49.369527 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 31, length 64
22:40:49.958352 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 32, length 64
22:40:50.369525 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 32, length 64
22:40:50.958349 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 33, length 64
22:40:51.369915 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 33, length 64
22:40:51.958729 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 34, length 64
22:40:52.369736 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 34, length 64
22:40:52.958558 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 35, length 64
22:40:53.369584 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 35, length 64
22:40:53.958409 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 36, length 64
22:40:54.369484 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 36, length 64
22:40:54.958305 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 37, length 64
22:40:55.369379 IP 103.62.49.193 > 10.8.2.12: ICMP echo reply, id 1856, seq 37, length 64
22:40:55.958205 IP 10.8.2.12 > 103.62.49.193: ICMP echo request, id 1856, seq 38, length 64
