22:43:26.055898 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 2, length 64
22:43:26.496149 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 2, length 64
22:43:27.056985 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 3, length 64
22:43:27.498005 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 3, length 64
22:43:28.057817 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 4, length 64
22:43:28.500651 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 4, length 64
22:43:29.058445 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 5, length 64
22:43:29.498235 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 5, length 64
22:43:30.060035 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 6, length 64
22:43:30.499035 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 6, length 64
22:43:31.060846 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 7, length 64
22:43:31.499854 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 7, length 64
22:43:32.061652 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 8, length 64
22:43:32.501438 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 8, length 64
22:43:33.063230 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 9, length 64
22:43:33.502635 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 9, length 64
22:43:34.064432 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 10, length 64
22:43:35.067244 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 11, length 64
22:43:35.506268 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 11, length 64
22:43:36.068062 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 12, length 64
22:43:36.506979 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 12, length 64
22:43:37.068778 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 13, length 64
22:43:37.508348 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 13, length 64
22:43:38.070145 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 14, length 64
22:43:38.509368 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 14, length 64
22:43:39.071191 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 15, length 64
22:43:39.510836 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 15, length 64
22:43:40.072633 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 16, length 64
22:43:40.511815 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 16, length 64
22:43:41.073610 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 17, length 64
22:43:41.513104 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 17, length 64
22:43:42.074898 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 18, length 64
22:43:42.520257 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 18, length 64
22:43:43.076055 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 19, length 64
22:43:43.515448 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 19, length 64
22:43:44.077249 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 20, length 64
22:43:44.516490 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 20, length 64
22:43:45.078289 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 21, length 64
22:43:45.517490 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 21, length 64
22:43:46.079288 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 22, length 64
22:43:46.522694 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 22, length 64
22:43:47.080490 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 23, length 64
22:43:47.519672 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 23, length 64
22:43:48.081472 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 24, length 64
22:43:48.520429 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 24, length 64
22:43:49.082223 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 25, length 64
22:43:49.521214 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 25, length 64
22:43:50.083013 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 26, length 64
22:43:50.528980 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 26, length 64
22:43:51.083771 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 27, length 64
22:43:51.525920 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 27, length 64
22:43:52.084714 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 28, length 64
22:43:52.524436 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 28, length 64
22:43:53.086232 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 29, length 64
22:43:53.525697 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 29, length 64
22:43:54.087494 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 30, length 64
22:43:54.527781 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 30, length 64
22:43:55.088577 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 31, length 64
22:43:55.531649 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 31, length 64
22:43:56.089442 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 32, length 64
22:43:56.532627 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 32, length 64
22:43:57.090412 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 33, length 64
22:43:57.529663 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 33, length 64
22:43:58.091452 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 34, length 64
22:43:58.530496 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 34, length 64
22:43:59.092300 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 35, length 64
22:43:59.531541 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 35, length 64
22:44:00.093396 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 36, length 64
22:44:00.533556 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 36, length 64
22:44:01.094359 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 37, length 64
22:44:01.533949 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 37, length 64
22:44:02.095748 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 38, length 64
22:44:02.535979 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 38, length 64
22:44:03.096774 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 39, length 64
22:44:03.543633 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 39, length 64
22:44:04.097424 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 40, length 64
22:44:04.536623 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 40, length 64
22:44:05.098408 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 41, length 64
22:44:05.540820 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 41, length 64
22:44:06.099617 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 42, length 64
22:44:06.538813 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 42, length 64
22:44:07.100612 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 43, length 64
22:44:07.539526 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 43, length 64
22:44:08.101327 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 44, length 64
22:44:08.540264 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 44, length 64
22:44:09.102063 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 45, length 64
22:44:09.541270 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 45, length 64
22:44:10.103058 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 46, length 64
22:44:10.547156 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 46, length 64
22:44:11.103950 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 47, length 64
22:44:11.551054 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 47, length 64
22:44:12.104854 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 48, length 64
22:44:12.556972 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 48, length 64
22:44:13.105755 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 49, length 64
22:44:13.549389 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 49, length 64
22:44:14.107196 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 50, length 64
22:44:14.547205 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 50, length 64
22:44:15.107993 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 51, length 64
22:44:15.547612 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 51, length 64
22:44:16.109406 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 52, length 64
22:44:16.555197 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 52, length 64
22:44:17.110975 IP 10.8.2.12 > 122.155.174.64: ICMP echo request, id 1868, seq 53, length 64
22:44:17.558269 IP 122.155.174.64 > 10.8.2.12: ICMP echo reply, id 1868, seq 53, length 64
