23:08:01.677046 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 2, length 64
23:08:01.935391 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 2, length 64
23:08:02.678405 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 3, length 64
23:08:02.931819 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 3, length 64
23:08:03.679811 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 4, length 64
23:08:03.928218 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 4, length 64
23:08:04.681210 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 5, length 64
23:08:04.929640 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 5, length 64
23:08:05.682628 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 6, length 64
23:08:05.931032 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 6, length 64
23:08:06.684043 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 7, length 64
23:08:06.933065 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 7, length 64
23:08:07.685058 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 8, length 64
23:08:07.938638 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 8, length 64
23:08:08.686626 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 9, length 64
23:08:08.934689 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 9, length 64
23:08:09.687674 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 10, length 64
23:08:09.935889 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 10, length 64
23:08:10.688883 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 11, length 64
23:08:10.937171 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 11, length 64
23:08:11.690165 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 12, length 64
23:08:11.938589 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 12, length 64
23:08:12.691572 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 13, length 64
23:08:12.939998 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 13, length 64
23:08:13.692984 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 14, length 64
23:08:13.941771 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 14, length 64
23:08:14.694748 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 15, length 64
23:08:14.943035 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 15, length 64
23:08:15.696039 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 16, length 64
23:08:15.945498 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 16, length 64
23:08:16.697485 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 17, length 64
23:08:16.945906 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 17, length 64
23:08:17.698889 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 18, length 64
23:08:17.947027 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 18, length 64
23:08:18.700039 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 19, length 64
23:08:18.948372 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 19, length 64
23:08:19.701357 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 20, length 64
23:08:19.950794 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 20, length 64
23:08:20.702774 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 21, length 64
23:08:20.951121 IP 179.48.249.195 > 10.8.0.2: ICMP echo reply, id 1964, seq 21, length 64
23:08:21.704111 IP 10.8.0.2 > 179.48.249.195: ICMP echo request, id 1964, seq 22, length 64
