22:48:37.811595 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 2, length 64
22:48:38.095686 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 2, length 64
22:48:38.811292 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 3, length 64
22:48:39.094762 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 3, length 64
22:48:39.811249 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 4, length 64
22:48:40.094887 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 4, length 64
22:48:40.811803 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 5, length 64
22:48:41.095388 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 5, length 64
22:48:41.812254 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 6, length 64
22:48:42.095955 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 6, length 64
22:48:42.812908 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 7, length 64
22:48:43.096986 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 7, length 64
22:48:43.812936 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 8, length 64
22:48:44.096586 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 8, length 64
22:48:44.813534 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 9, length 64
22:48:45.097400 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 9, length 64
22:48:45.813358 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 10, length 64
22:48:46.097298 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 10, length 64
22:48:46.813243 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 11, length 64
22:48:47.097047 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 11, length 64
22:48:47.814006 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 12, length 64
22:48:48.099013 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 12, length 64
22:48:48.813984 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 13, length 64
22:48:49.097494 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 13, length 64
22:48:49.814450 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 14, length 64
22:48:50.097900 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 14, length 64
22:48:50.814849 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 15, length 64
22:48:51.098524 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 15, length 64
22:48:51.815246 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 16, length 64
22:48:52.098739 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 16, length 64
22:48:52.815244 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 17, length 64
22:48:53.098976 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 17, length 64
22:48:53.815944 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 18, length 64
22:48:54.099549 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 18, length 64
22:48:54.816464 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 19, length 64
22:48:55.100014 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 19, length 64
22:48:55.816929 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 20, length 64
22:48:56.100603 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 20, length 64
22:48:56.817549 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 21, length 64
22:48:57.101221 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 21, length 64
22:48:57.818170 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 22, length 64
22:48:58.102090 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 22, length 64
22:48:58.818038 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 23, length 64
22:48:59.101848 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 23, length 64
22:48:59.818796 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 24, length 64
22:49:00.102297 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 24, length 64
22:49:00.819251 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 25, length 64
22:49:01.102892 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 25, length 64
22:49:01.819233 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 26, length 64
22:49:02.103065 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 26, length 64
22:49:02.819994 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 27, length 64
22:49:03.103547 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 27, length 64
22:49:03.820499 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 28, length 64
22:49:04.104146 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 28, length 64
22:49:04.821098 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 29, length 64
22:49:05.104735 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 29, length 64
22:49:05.821674 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 30, length 64
22:49:06.105123 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 30, length 64
22:49:06.822074 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 31, length 64
22:49:07.105401 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 31, length 64
22:49:07.822346 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 32, length 64
22:49:08.105834 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 32, length 64
22:49:08.822787 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 33, length 64
22:49:09.106186 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 33, length 64
22:49:09.823136 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 34, length 64
22:49:10.106653 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 34, length 64
22:49:10.823606 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 35, length 64
22:49:11.107275 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 35, length 64
22:49:11.824230 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 36, length 64
22:49:12.107905 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 36, length 64
22:49:12.824857 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 37, length 64
22:49:13.108313 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 37, length 64
22:49:13.825267 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 38, length 64
22:49:14.108927 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 38, length 64
22:49:14.825893 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 39, length 64
22:49:15.109526 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 39, length 64
22:49:15.826482 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 40, length 64
22:49:16.110362 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 40, length 64
22:49:16.826308 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 41, length 64
22:49:17.110016 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 41, length 64
22:49:17.826965 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 42, length 64
22:49:18.110571 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 42, length 64
22:49:18.827525 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 43, length 64
22:49:19.111067 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 43, length 64
22:49:19.828022 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 44, length 64
22:49:20.111422 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 44, length 64
22:49:20.828375 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 45, length 64
22:49:21.112073 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 45, length 64
22:49:21.829033 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 46, length 64
22:49:22.112623 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 46, length 64
22:49:22.829578 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 47, length 64
22:49:23.113131 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 47, length 64
22:49:23.830084 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 48, length 64
22:49:24.114096 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 48, length 64
22:49:24.830046 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 49, length 64
22:49:25.113669 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 49, length 64
22:49:25.830616 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 50, length 64
22:49:26.114113 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 50, length 64
22:49:26.831065 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 51, length 64
22:49:27.116767 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 51, length 64
22:49:27.831707 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 52, length 64
22:49:28.115135 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 52, length 64
22:49:28.832101 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 53, length 64
22:49:29.115849 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 53, length 64
22:49:29.832801 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 54, length 64
22:49:30.116216 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 54, length 64
22:49:30.833168 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 55, length 64
22:49:31.116582 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 55, length 64
22:49:31.833534 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 56, length 64
22:49:32.117063 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 56, length 64
22:49:32.834015 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 57, length 64
22:49:33.117900 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 57, length 64
22:49:33.833838 IP 10.8.0.2 > 82.102.20.236: ICMP echo request, id 1887, seq 58, length 64
22:49:34.117443 IP 82.102.20.236 > 10.8.0.2: ICMP echo reply, id 1887, seq 58, length 64
