23:11:12.076168 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 1, length 64
23:11:12.368279 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 1, length 64
23:11:13.077377 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 2, length 64
23:11:13.369405 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 2, length 64
23:11:14.078338 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 3, length 64
23:11:14.370293 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 3, length 64
23:11:15.079251 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 4, length 64
23:11:15.371456 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 4, length 64
23:11:16.080394 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 5, length 64
23:11:16.372308 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 5, length 64
23:11:17.081250 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 6, length 64
23:11:17.373126 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 6, length 64
23:11:18.082066 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 7, length 64
23:11:18.374170 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 7, length 64
23:11:19.083111 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 8, length 64
23:11:19.375180 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 8, length 64
23:11:20.084090 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 9, length 64
23:11:20.376233 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 9, length 64
23:11:21.085178 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 10, length 64
23:11:21.377228 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 10, length 64
23:11:22.086167 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 11, length 64
23:11:22.378387 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 11, length 64
23:11:23.087349 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1975, seq 12, length 64
23:11:23.379657 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1975, seq 12, length 64
