23:12:13.891021 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 2, length 64
23:12:14.165462 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 2, length 64
23:12:14.891324 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 3, length 64
23:12:15.165456 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 3, length 64
23:12:15.891436 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 4, length 64
23:12:16.168025 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 4, length 64
23:12:16.891978 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 5, length 64
23:12:17.183480 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 5, length 64
23:12:17.892411 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 6, length 64
23:12:18.166727 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 6, length 64
23:12:18.892680 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 7, length 64
23:12:19.167714 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 7, length 64
23:12:19.892669 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 8, length 64
23:12:20.167120 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 8, length 64
23:12:20.893069 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 9, length 64
23:12:21.167121 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 9, length 64
23:12:21.893070 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 10, length 64
23:12:22.167946 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 10, length 64
23:12:22.892889 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 11, length 64
23:12:23.167198 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 11, length 64
23:12:23.893147 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 12, length 64
23:12:24.167201 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 12, length 64
23:12:24.893149 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 13, length 64
23:12:25.170010 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 13, length 64
23:12:25.892949 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 14, length 64
23:12:26.166976 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 14, length 64
23:12:26.892928 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 15, length 64
23:12:27.167200 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 15, length 64
23:12:27.893133 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 16, length 64
23:12:28.170206 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 16, length 64
23:12:28.893151 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 17, length 64
23:12:29.167221 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 17, length 64
23:12:29.893166 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 18, length 64
23:12:30.167499 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 18, length 64
23:12:30.893447 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 19, length 64
23:12:31.167503 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 19, length 64
23:12:31.893454 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 20, length 64
23:12:32.170755 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 20, length 64
23:12:32.893703 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 21, length 64
23:12:33.167909 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 21, length 64
23:12:33.893859 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 22, length 64
23:12:34.172999 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 22, length 64
23:12:34.893942 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 23, length 64
23:12:35.172770 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 23, length 64
23:12:35.894724 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 24, length 64
23:12:36.168813 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 24, length 64
23:12:36.894756 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 25, length 64
23:12:37.168983 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 25, length 64
23:12:37.894928 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 26, length 64
23:12:38.169416 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 26, length 64
23:12:38.895364 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 27, length 64
23:12:39.169481 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 27, length 64
23:12:39.895430 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 28, length 64
23:12:40.170266 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 28, length 64
23:12:40.896211 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 29, length 64
23:12:41.173068 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 29, length 64
23:12:41.896020 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 30, length 64
23:12:42.170505 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 30, length 64
23:12:42.896451 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 31, length 64
23:12:43.176534 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 31, length 64
23:12:43.896477 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 32, length 64
23:12:44.175563 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 32, length 64
23:12:44.896503 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 33, length 64
23:12:45.170569 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 33, length 64
23:12:45.896521 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 34, length 64
23:12:46.170541 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 34, length 64
23:12:46.896487 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 35, length 64
23:12:47.170832 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 35, length 64
23:12:47.896780 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 36, length 64
23:12:48.172379 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 36, length 64
23:12:48.897323 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 37, length 64
23:12:49.183664 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 37, length 64
23:12:49.897597 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 38, length 64
23:12:50.175493 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 38, length 64
23:12:50.897434 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 39, length 64
23:12:51.176100 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 39, length 64
23:12:51.898041 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 40, length 64
23:12:52.172711 IP 81.92.202.11 > 10.8.2.2: ICMP echo reply, id 1976, seq 40, length 64
23:12:52.898660 IP 10.8.2.2 > 81.92.202.11: ICMP echo request, id 1976, seq 41, length 64
