01:33:00.926919 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 1, length 64
01:33:01.606970 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 2, length 64
01:33:01.925484 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 2, length 64
01:33:02.608414 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 3, length 64
01:33:02.927093 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 3, length 64
01:33:03.610041 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 4, length 64
01:33:03.928848 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 4, length 64
01:33:04.611762 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 5, length 64
01:33:04.939733 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 5, length 64
01:33:05.612633 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 6, length 64
01:33:05.932107 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 6, length 64
01:33:06.614010 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 7, length 64
01:33:06.934526 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 7, length 64
01:33:07.615433 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 8, length 64
01:33:07.933726 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 8, length 64
01:33:08.616630 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 9, length 64
01:33:08.937993 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 9, length 64
01:33:09.617893 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 10, length 64
01:33:09.936168 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 10, length 64
01:33:10.619075 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 11, length 64
01:33:10.937462 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 11, length 64
01:33:11.620368 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 12, length 64
01:33:11.938745 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 12, length 64
01:33:12.621654 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 13, length 64
01:33:12.941849 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 13, length 64
01:33:13.622742 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 14, length 64
01:33:13.941059 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 14, length 64
01:33:14.623977 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 15, length 64
01:33:14.942288 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 15, length 64
01:33:15.625204 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 16, length 64
01:33:15.943684 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 16, length 64
01:33:16.626598 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 17, length 64
01:33:16.945068 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 17, length 64
01:33:17.627988 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 18, length 64
01:33:17.948095 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 18, length 64
01:33:18.629007 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 19, length 64
01:33:18.947314 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 19, length 64
01:33:19.630229 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 20, length 64
01:33:19.948505 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 20, length 64
01:33:20.631386 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 21, length 64
01:33:20.949875 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 21, length 64
01:33:21.632795 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 22, length 64
01:33:21.951166 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 22, length 64
01:33:22.634053 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 23, length 64
01:33:22.956060 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 23, length 64
01:33:23.634897 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 24, length 64
01:33:23.956382 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 24, length 64
01:33:24.636297 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 25, length 64
01:33:25.659247 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 26, length 64
01:33:25.977604 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 26, length 64
01:33:26.660520 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 27, length 64
01:33:26.978798 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 27, length 64
01:33:27.661712 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 28, length 64
01:33:27.980018 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 28, length 64
01:33:28.662935 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 29, length 64
01:33:28.981432 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 29, length 64
01:33:29.664345 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 30, length 64
01:33:29.983013 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 30, length 64
01:33:30.665946 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 31, length 64
01:33:30.986470 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 31, length 64
01:33:31.667351 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 32, length 64
01:33:31.985646 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 32, length 64
01:33:32.668567 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 33, length 64
01:33:32.987266 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 33, length 64
01:33:33.670183 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 34, length 64
01:33:33.988475 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 34, length 64
01:33:34.671391 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 35, length 64
01:33:34.989982 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 35, length 64
01:33:35.672900 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 36, length 64
01:33:35.991541 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 36, length 64
01:33:36.674455 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 37, length 64
01:33:37.691237 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 38, length 64
01:33:38.278781 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 37, length 64
01:33:38.279206 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 38, length 64
01:33:38.690851 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 39, length 64
01:33:39.009145 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 39, length 64
01:33:39.691056 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 40, length 64
01:33:40.009357 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 40, length 64
01:33:40.691268 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 41, length 64
01:33:41.009594 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 41, length 64
01:33:41.691508 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 42, length 64
01:33:42.009855 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 42, length 64
01:33:42.691771 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 43, length 64
01:33:43.010319 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 43, length 64
01:33:43.692242 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 44, length 64
01:33:44.010623 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 44, length 64
01:33:44.692535 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 45, length 64
01:33:45.010819 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 45, length 64
01:33:45.692729 IP 10.8.2.8 > 141.98.103.171: ICMP echo request, id 2506, seq 46, length 64
01:33:46.018044 IP 141.98.103.171 > 10.8.2.8: ICMP echo reply, id 2506, seq 46, length 64
