02:39:41.249742 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 2, length 64
02:39:41.562798 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 2, length 64
02:39:42.250632 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 3, length 64
02:39:42.563976 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 3, length 64
02:39:43.251271 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 4, length 64
02:39:43.564198 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 4, length 64
02:39:44.252089 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 5, length 64
02:39:44.564972 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 5, length 64
02:39:45.252292 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 6, length 64
02:39:45.565413 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 6, length 64
02:39:46.253290 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 7, length 64
02:39:46.566351 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 7, length 64
02:39:47.254239 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 8, length 64
02:39:47.567446 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 8, length 64
02:39:48.255253 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 9, length 64
02:39:48.568233 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 9, length 64
02:39:49.256118 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 10, length 64
02:39:49.569281 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 10, length 64
02:39:50.257157 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 11, length 64
02:39:50.570326 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 11, length 64
02:39:51.258204 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 12, length 64
02:39:51.571119 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 12, length 64
02:39:52.259018 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 13, length 64
02:39:52.572168 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 13, length 64
02:39:53.260045 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 14, length 64
02:39:53.573010 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 14, length 64
02:39:54.260887 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 15, length 64
02:39:54.574014 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 15, length 64
02:39:55.261891 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 16, length 64
02:39:55.575037 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 16, length 64
02:39:56.262937 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 17, length 64
02:39:56.575874 IP 103.1.212.91 > 10.8.1.4: ICMP echo reply, id 2755, seq 17, length 64
02:39:57.263757 IP 10.8.1.4 > 103.1.212.91: ICMP echo request, id 2755, seq 18, length 64
