22:01:57.240716 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 1, length 64
22:01:58.242174 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 2, length 64
22:01:58.563523 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 2, length 64
22:01:59.910785 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 3, length 64
22:02:00.231043 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 3, length 64
22:02:00.910950 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 4, length 64
22:02:01.231279 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 4, length 64
22:02:01.911177 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 5, length 64
22:02:02.235080 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 5, length 64
22:02:02.910977 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 6, length 64
22:02:03.235628 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 6, length 64
22:02:03.911528 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 7, length 64
22:02:04.246635 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 7, length 64
22:02:04.911532 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 8, length 64
22:02:05.240398 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 8, length 64
22:02:05.911292 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 9, length 64
22:02:06.246970 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 9, length 64
22:02:06.911855 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 10, length 64
22:02:07.234564 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 10, length 64
22:02:07.912463 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 11, length 64
22:02:08.233358 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 11, length 64
22:02:08.912264 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 12, length 64
22:02:09.922146 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 13, length 64
22:02:10.251110 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 13, length 64
22:02:10.921998 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 14, length 64
22:02:11.250158 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 14, length 64
22:02:11.922048 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 15, length 64
22:02:12.241247 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 15, length 64
22:02:12.922152 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 16, length 64
22:02:13.248256 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 16, length 64
22:02:13.922146 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 17, length 64
22:02:14.242056 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 17, length 64
22:02:14.921980 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 18, length 64
22:02:15.243207 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 18, length 64
22:02:15.922112 IP 10.8.2.2 > 172.83.40.219: ICMP echo request, id 79, seq 19, length 64
22:02:16.244567 IP 172.83.40.219 > 10.8.2.2: ICMP echo reply, id 79, seq 19, length 64
