07:55:40.825575 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 2, length 64
07:55:40.945216 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 2, length 64
07:55:41.827259 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 3, length 64
07:55:41.946648 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 3, length 64
07:55:42.828806 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 4, length 64
07:55:42.948017 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 4, length 64
07:55:43.830158 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 5, length 64
07:55:43.949057 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 5, length 64
07:55:44.831183 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 6, length 64
07:55:44.950227 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 6, length 64
07:55:45.832355 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 7, length 64
07:55:45.951667 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 7, length 64
07:55:46.833786 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 8, length 64
07:55:46.953131 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 8, length 64
07:55:47.835253 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 9, length 64
07:55:48.862204 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 10, length 64
07:55:48.981669 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 10, length 64
07:55:49.863785 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 11, length 64
07:55:49.982906 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 11, length 64
07:55:50.865037 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 12, length 64
07:55:50.984339 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 12, length 64
07:55:51.866468 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 13, length 64
07:55:51.985531 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 13, length 64
07:55:52.867663 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 14, length 64
07:55:52.986364 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 14, length 64
07:55:53.869488 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 15, length 64
07:55:54.878207 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 16, length 64
07:55:54.997806 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 16, length 64
07:55:55.879933 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 17, length 64
07:55:56.894205 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 18, length 64
07:55:57.013246 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 18, length 64
07:55:57.894373 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 19, length 64
07:55:58.910208 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 20, length 64
07:55:59.029275 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 20, length 64
07:55:59.910218 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 21, length 64
07:56:00.926176 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 22, length 64
07:56:01.950203 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 23, length 64
07:56:02.069122 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 23, length 64
07:56:02.950237 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 24, length 64
07:56:03.068938 IP 84.17.37.226 > 10.8.0.2: ICMP echo reply, id 792, seq 24, length 64
07:56:03.951059 IP 10.8.0.2 > 84.17.37.226: ICMP echo request, id 792, seq 25, length 64
