07:57:56.779410 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 2, length 64
07:57:57.064388 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 2, length 64
07:57:57.779305 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 3, length 64
07:57:58.057186 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 3, length 64
07:57:58.779113 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 4, length 64
07:57:59.062833 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 4, length 64
07:57:59.779754 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 5, length 64
07:58:00.058054 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 5, length 64
07:58:00.780011 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 6, length 64
07:58:01.058062 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 6, length 64
07:58:01.780011 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 7, length 64
07:58:02.057836 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 7, length 64
07:58:02.780764 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 8, length 64
07:58:03.059261 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 8, length 64
07:58:03.781190 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 9, length 64
07:58:04.059301 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 9, length 64
07:58:04.781227 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 10, length 64
07:58:05.060101 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 10, length 64
07:58:05.781029 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 11, length 64
07:58:06.060711 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 11, length 64
07:58:06.781632 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 12, length 64
07:58:07.059711 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 12, length 64
07:58:07.781626 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 13, length 64
07:58:08.059950 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 13, length 64
07:58:08.781873 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 14, length 64
07:58:09.060938 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 14, length 64
07:58:09.781863 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 15, length 64
07:58:10.060738 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 15, length 64
07:58:10.781662 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 16, length 64
07:58:11.060005 IP 45.133.192.67 > 10.8.0.2: ICMP echo reply, id 799, seq 16, length 64
07:58:11.781935 IP 10.8.0.2 > 45.133.192.67: ICMP echo request, id 799, seq 17, length 64
