08:01:15.554950 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 1, length 64
08:01:16.201263 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 2, length 64
08:01:16.594132 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 2, length 64
08:01:17.202006 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 3, length 64
08:01:17.594771 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 3, length 64
08:01:18.203616 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 4, length 64
08:01:18.596967 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 4, length 64
08:01:19.204810 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 5, length 64
08:01:19.597606 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 5, length 64
08:01:20.206459 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 6, length 64
08:01:21.214221 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 7, length 64
08:01:22.238217 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 8, length 64
08:01:22.631239 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 8, length 64
08:01:23.239085 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 9, length 64
08:01:23.631845 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 9, length 64
08:01:24.240698 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 10, length 64
08:01:25.246209 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 11, length 64
08:01:25.638852 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 11, length 64
08:01:26.247705 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 12, length 64
08:01:26.640483 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 12, length 64
08:01:27.249336 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 13, length 64
08:01:28.254216 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 14, length 64
08:01:28.647145 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 14, length 64
08:01:29.254997 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 15, length 64
08:01:30.270242 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 16, length 64
08:01:30.662930 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 16, length 64
08:01:31.271787 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 17, length 64
08:01:31.664743 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 17, length 64
08:01:32.272594 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 18, length 64
08:01:32.665582 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 18, length 64
08:01:33.273431 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 19, length 64
08:01:33.665959 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 19, length 64
08:01:34.274845 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 20, length 64
08:01:34.667389 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 20, length 64
08:01:35.276237 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 21, length 64
08:01:35.669204 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 21, length 64
08:01:36.277025 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 22, length 64
08:01:36.670007 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 22, length 64
08:01:37.277890 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 23, length 64
08:01:37.670460 IP 37.19.218.139 > 10.8.0.2: ICMP echo reply, id 812, seq 23, length 64
08:01:38.279311 IP 10.8.0.2 > 37.19.218.139: ICMP echo request, id 812, seq 24, length 64
