08:15:12.524729 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 1, length 64
08:15:13.073279 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 1, length 64
08:15:14.049523 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 2, length 64
08:15:14.598227 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 2, length 64
08:15:15.050886 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 3, length 64
08:15:15.599467 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 3, length 64
08:15:16.052131 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 4, length 64
08:15:16.600349 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 4, length 64
08:15:17.053013 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 5, length 64
08:15:17.601387 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 5, length 64
08:15:18.054042 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 6, length 64
08:15:18.603065 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 6, length 64
08:15:19.054727 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 7, length 64
08:15:19.603297 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 7, length 64
08:15:20.055960 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 8, length 64
08:15:20.604232 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 8, length 64
08:15:21.056890 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 9, length 64
08:15:21.605309 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 9, length 64
08:15:22.057964 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 10, length 64
08:15:22.606352 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 10, length 64
08:15:23.059012 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 11, length 64
08:15:23.607613 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 11, length 64
08:15:24.060267 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 12, length 64
08:15:24.609627 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 12, length 64
08:15:25.061288 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 13, length 64
08:15:25.609694 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 13, length 64
08:15:26.062235 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 14, length 64
08:15:26.610836 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 14, length 64
08:15:27.063498 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 15, length 64
08:15:27.611687 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 15, length 64
08:15:28.064346 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 16, length 64
08:15:28.612736 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 16, length 64
08:15:29.065396 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 17, length 64
08:15:29.613639 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 17, length 64
08:15:30.066361 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 18, length 64
08:15:30.614527 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 18, length 64
08:15:31.067222 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 19, length 64
08:15:31.615524 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 19, length 64
08:15:32.068228 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 20, length 64
08:15:32.617412 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 20, length 64
08:15:33.069111 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 21, length 64
08:15:33.617673 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 21, length 64
08:15:34.070369 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 22, length 64
08:15:34.618586 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 22, length 64
08:15:35.071293 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 23, length 64
08:15:35.619548 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 23, length 64
08:15:36.072258 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 24, length 64
08:15:36.620547 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 24, length 64
08:15:37.073251 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 25, length 64
08:15:37.621978 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 25, length 64
08:15:38.074709 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 26, length 64
08:15:38.623193 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 26, length 64
08:15:39.075896 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 27, length 64
08:15:39.624263 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 864, seq 27, length 64
08:15:40.076964 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 864, seq 28, length 64
