08:07:50.844366 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 1, length 64
08:07:52.067373 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 2, length 64
08:07:52.622188 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 2, length 64
08:07:53.068856 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 3, length 64
08:07:53.622999 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 3, length 64
08:07:54.069655 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 4, length 64
08:07:54.623779 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 4, length 64
08:07:55.070470 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 5, length 64
08:07:55.624695 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 5, length 64
08:07:56.071385 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 6, length 64
08:07:56.626204 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 6, length 64
08:07:57.072865 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 7, length 64
08:07:57.627467 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 7, length 64
08:07:58.074179 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 8, length 64
08:07:58.628664 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 8, length 64
08:07:59.075337 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 9, length 64
08:07:59.629999 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 9, length 64
08:08:00.076749 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 10, length 64
08:08:00.631201 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 10, length 64
08:08:01.077911 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 11, length 64
08:08:01.632209 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 11, length 64
08:08:02.078898 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 12, length 64
08:08:02.633513 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 12, length 64
08:08:03.080230 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 13, length 64
08:08:03.634676 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 13, length 64
08:08:04.081333 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 14, length 64
08:08:04.635527 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 14, length 64
08:08:05.082250 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 15, length 64
08:08:05.636467 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 15, length 64
08:08:06.083170 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 16, length 64
08:08:06.637535 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 16, length 64
08:08:07.084222 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 17, length 64
08:08:07.638640 IP 217.23.2.31 > 10.8.2.5: ICMP echo reply, id 835, seq 17, length 64
08:08:08.085327 IP 10.8.2.5 > 217.23.2.31: ICMP echo request, id 835, seq 18, length 64
