08:24:41.030832 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 2, length 64
08:24:41.669477 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 2, length 64
08:24:42.032128 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 3, length 64
08:24:42.670782 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 3, length 64
08:24:43.033395 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 4, length 64
08:24:43.671848 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 4, length 64
08:24:44.034445 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 5, length 64
08:24:44.672922 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 5, length 64
08:24:45.035529 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 6, length 64
08:24:45.674133 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 6, length 64
08:24:46.036727 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 7, length 64
08:24:46.675306 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 7, length 64
08:24:47.037928 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 8, length 64
08:24:47.676179 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 8, length 64
08:24:48.038777 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 9, length 64
08:24:48.677443 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 9, length 64
08:24:49.040045 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 10, length 64
08:24:49.678613 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 10, length 64
08:24:50.041217 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 11, length 64
08:24:50.679875 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 11, length 64
08:24:51.042203 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 12, length 64
08:24:51.680815 IP 148.72.164.38 > 10.8.2.5: ICMP echo reply, id 898, seq 12, length 64
08:24:52.043419 IP 10.8.2.5 > 148.72.164.38: ICMP echo request, id 898, seq 13, length 64
